run_id,update,env_steps,loss,policy_loss,value_loss,approx_kl,entropy,gradient_norm,epochs_completed,kl_early_stop,reward,reward_status
local,46,47104,1.682379961013794,-0.013887844979763031,1.4043326377868652,0.005814380012452602,-29.19352149963379,68.72797393798828,5,0.0,,not_recorded_in_source_summary
local,47,48128,1.495849609375,-0.02116827666759491,1.225088119506836,0.012283790856599808,-29.19297218322754,105.5671615600586,5,0.0,,not_recorded_in_source_summary
local,48,49152,1.6477532386779785,-0.010224554687738419,1.366053819656372,0.01614544168114662,-29.192399978637695,240.38592529296875,5,0.0,,not_recorded_in_source_summary
local,49,50176,1.6999372243881226,-0.0049153883010149,1.4129340648651123,0.020300496369600296,-29.191852569580078,241.3790283203125,3,1.0,,not_recorded_in_source_summary
local,50,51200,1.6661169528961182,-0.02296760305762291,1.39717698097229,0.015408306382596493,-29.19076156616211,56.66132354736328,5,0.0,,not_recorded_in_source_summary
local,51,52224,1.4114503860473633,-0.015896683558821678,1.1354519128799438,0.01355977263301611,-29.189510345458984,103.71598052978516,5,0.0,,not_recorded_in_source_summary
local,52,53248,1.6436158418655396,-0.010754650458693504,1.3624835014343262,0.010903406888246536,-29.18870735168457,140.4842071533203,5,0.0,,not_recorded_in_source_summary
local,53,54272,1.6956062316894531,-0.012793364003300667,1.4165151119232178,0.022675659507513046,-29.188459396362305,70.55078887939453,3,1.0,,not_recorded_in_source_summary
local,54,55296,1.6737984418869019,-0.007135726511478424,1.3890554904937744,0.019457045942544937,-29.1878662109375,216.3667449951172,5,0.0,,not_recorded_in_source_summary
local,55,56320,1.312083125114441,-0.025638028979301453,1.0458509922027588,0.0076551130041480064,-29.187009811401367,56.54118347167969,5,0.0,,not_recorded_in_source_summary
local,56,57344,1.6610920429229736,-0.009225098416209221,1.3784551620483398,0.007712420076131821,-29.186195373535156,97.99333953857422,5,0.0,,not_recorded_in_source_summary
local,57,58368,1.665526032447815,-0.014762858860194683,1.3884342908859253,0.013394413515925407,-29.18545913696289,101.90471649169922,5,0.0,,not_recorded_in_source_summary
local,58,59392,1.659223198890686,-0.013213487342000008,1.380589485168457,0.01583491638302803,-29.18472671508789,221.70655822753906,5,0.0,,not_recorded_in_source_summary
local,59,60416,1.315811038017273,-0.019506849348545074,1.0434796810150146,0.012767547741532326,-29.183813095092773,87.24060821533203,5,0.0,,not_recorded_in_source_summary
local,60,61440,1.659109115600586,-0.01607249677181244,1.3833564519882202,0.012643029913306236,-29.182519912719727,75.11790466308594,5,0.0,,not_recorded_in_source_summary
local,61,62464,1.6533373594284058,-0.016440290957689285,1.3779667615890503,0.010328121483325958,-29.18108367919922,87.33969116210938,5,0.0,,not_recorded_in_source_summary
local,62,63488,1.6811262369155884,-0.007484257221221924,1.396820068359375,0.015517374500632286,-29.17903709411621,102.45147705078125,5,0.0,,not_recorded_in_source_summary
