phase,env_steps,steps,seconds,mean_reward,mean_raw_return,returns,lengths,optimizer_steps,mean_loss,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance
update,16896,512,0.05165829206816852,,,,,8,973.3857803344727,-0.006614867597818375,973.3924102783203,-29.22265100479126,0.028596652438864112,0.3662109375,0.019096274344021502
episodes,17184,,,,1727.924709200859,[1727.924709200859],[238],,,,,,,,
episodes,17232,,,,1189.3660154938698,[1189.3660154938698],[172],,,,,,,,
collection,17408,512,0.26735091593582183,7.472842069226317,,,,,,,,,,,
update,17408,512,0.05307241703849286,,,,,8,967.1974868774414,0.0034366807667538524,967.1940536499023,-29.22270131111145,0.03145017771748826,0.439453125,-0.0024205756895248065
collection,17920,512,0.2563473329646513,7.751229486428201,,,,,,,,,,,
update,17920,512,0.05348579096607864,,,,,8,1080.9890594482422,0.004632494645193219,1080.9844055175781,-29.222947359085083,0.01174673717468977,0.4208984375,-0.03636191186862803
episodes,18128,,,,2843.7426492273808,[2843.7426492273808],[392],,,,,,,,
episodes,18252,,,,1703.4113181866705,[1703.4113181866705],[255],,,,,,,,
episodes,18328,,,,8219.00439786911,[8219.00439786911],[1000],,,,,,,,
collection,18432,512,0.26495662494562566,7.244399217022874,,,,,,,,,,,
update,18432,512,0.05549383396282792,,,,,8,895.0764236450195,0.013149128528311849,895.0632705688477,-29.223215103149414,0.060127595730591565,0.443359375,0.015535992471802373
episodes,18644,,,,520.3900049328804,[520.3900049328804],[79],,,,,,,,
episodes,18800,,,,1157.8503326177597,[1157.8503326177597],[168],,,,,,,,
episodes,18896,,,,3091.378298461437,[3091.378298461437],[428],,,,,,,,
collection,18944,512,0.30742916697636247,6.947714589303359,,,,,,,,,,,
update,18944,512,0.05531154095660895,,,,,8,877.5849151611328,0.014227382373064756,877.5707015991211,-29.223380088806152,0.04740393493557349,0.46484375,0.07494985131377008
episodes,19172,,,,601.7992705106735,[601.7992705106735],[93],,,,,,,,
episodes,19352,,,,770.2581013552845,[770.2581013552845],[114],,,,,,,,
collection,19456,512,0.2476711249910295,7.156748878325743,,,,,,,,,,,
update,19456,512,0.055044666049070656,,,,,8,928.4268493652344,0.007502897293306887,928.4193420410156,-29.22348713874817,0.029772951966151595,0.4013671875,0.030923968592762363
episodes,19624,,,,442.6748707741499,[442.6748707741499],[68],,,,,,,,
collection,19968,512,0.24876062502153218,7.34766966997995,,,,,,,,,,,
update,19968,512,0.06535049993544817,,,,,8,986.9164657592773,0.014270340790972114,986.9021987915039,-29.223429441452026,0.01858683320460841,0.423828125,0.023539799283471607
collection,20480,512,0.26733099995180964,7.714124710299075,,,,,,,,,,,
update,20480,512,0.060211541946046054,,,,,8,1082.5607147216797,0.002903623040765524,1082.5578155517578,-29.223389387130737,0.010130143607966602,0.3935546875,-0.006319439475911182
episodes,20568,,,,1684.9377792924643,[1684.9377792924643],[236],,,,,,,,
episodes,20728,,,,3741.4014576673508,[3741.4014576673508],[521],,,,,,,,
collection,20992,512,0.2968938749982044,7.323172987875296,,,,,,,,,,,
update,20992,512,0.060194917023181915,,,,,8,969.6758880615234,-0.0009649987332522869,969.6768569946289,-29.223523378372192,0.019316979218274355,0.31640625,-0.003921341818556634
episodes,21216,,,,1112.2327869916335,[1112.2327869916335],[162],,,,,,,,
episodes,21224,,,,837.5480450540781,[837.5480450540781],[124],,,,,,,,
collection,21504,512,0.2810492080170661,7.300803343345251,,,,,,,,,,,
update,21504,512,0.0560851669870317,,,,,8,934.5677032470703,-0.0008885562419891357,934.5685882568359,-29.223570108413696,0.030990879866294563,0.384765625,0.03288347671962222
episodes,21520,,,,473.0933870971203,[473.0933870971203],[74],,,,,,,,
episodes,21740,,,,334.35523027181625,[334.35523027181625],[55],,,,,,,,
collection,22016,512,0.2869668749626726,7.619705090997741,,,,,,,,,,,
update,22016,512,0.055242415983229876,,,,,8,1027.9501647949219,0.005663885560352355,1027.9445037841797,-29.223519563674927,0.028753139020409435,0.404296875,-0.007358276931096475
episodes,22188,,,,743.9464546740055,[743.9464546740055],[112],,,,,,,,
episodes,22252,,,,8180.117622375488,[8180.117622375488],[1000],,,,,,,,
episodes,22488,,,,346.81135168112814,[346.81135168112814],[59],,,,,,,,
collection,22528,512,0.28060954192187637,7.424959248037339,,,,,,,,,,,
update,22528,512,0.05833212495781481,,,,,8,937.7284927368164,-0.0012529799714684486,937.7297515869141,-29.22333812713623,0.02900864847470075,0.3603515625,0.051886976265331675
episodes,22756,,,,417.44478088710457,[417.44478088710457],[67],,,,,,,,
collection,23040,512,0.294115333002992,7.629358375563243,,,,,,,,,,,
update,23040,512,0.0552636660868302,,,,,8,1025.7361297607422,0.004416726296767592,1025.7317199707031,-29.223170518875122,0.011122078751213849,0.3369140625,-0.011820174851577603
episodes,23172,,,,7744.207623004913,[7744.207623004913],[1000],,,,,,,,
episodes,23296,,,,2003.5667117238045,[2003.5667117238045],[277],,,,,,,,
episodes,23472,,,,485.8039239048958,[485.8039239048958],[75],,,,,,,,
collection,23552,512,0.2881308749783784,7.299852680647746,,,,,,,,,,,
update,23552,512,0.06903991696890444,,,,,8,903.2545394897461,-0.00819024769589305,903.2627334594727,-29.223177194595337,0.022230868169572204,0.3193359375,0.057488047544896226
episodes,24000,,,,5078.449976861477,[5078.449976861477],[696],,,,,,,,
collection,24064,512,0.24157883296720684,7.227903531980701,,,,,,,,,,,
update,24064,512,0.053073582937940955,,,,,8,971.7250137329102,0.008217832306399941,971.716796875,-29.223193407058716,0.014778133016079664,0.3857421875,0.03734058642690574
episodes,24084,,,,1047.5521535873413,[1047.5521535873413],[153],,,,,,,,
collection,24576,512,0.2479014159180224,7.46430248930119,,,,,,,,,,,
update,24576,512,0.05647824995685369,,,,,8,1042.418312072754,-0.002085802610963583,1042.420394897461,-29.22328805923462,0.022370894206687808,0.3447265625,0.03989152783058081
collection,25088,512,0.24356299999635667,7.905129825696349,,,,,,,,,,,
update,25088,512,0.05243091704323888,,,,,8,1104.427017211914,-0.0033782009268179536,1104.430419921875,-29.223195791244507,0.007836970326025039,0.349609375,-0.04795904132377915
collection,25600,512,0.249472290975973,7.716846804134548,,,,,,,,,,,
update,25600,512,0.05153108399827033,,,,,8,1075.7076568603516,0.0032556639052927494,1075.7044067382812,-29.22313141822815,0.009614982700441033,0.380859375,-0.060602070591781354
episodes,25744,,,,3042.86008810997,[3042.86008810997],[415],,,,,,,,
collection,26112,512,0.26641537493560463,7.662457469385117,,,,,,,,,,,
update,26112,512,0.05723216698970646,,,,,8,1033.8418350219727,-0.002636766992509365,1033.8444747924805,-29.223000288009644,0.010282701521646231,0.3310546875,-0.044335249138451216
episodes,26416,,,,1188.2577163763344,[1188.2577163763344],[168],,,,,,,,
collection,26624,512,0.275962374988012,7.5966504033785895,,,,,,,,,,,
